gender,age_group,all,eco_y,job_y,job_n,eco_n
1,15,1617 ,110 ,101 ,9 ,1507 
1,20,1387 ,610 ,551 ,59 ,777 
1,25,1671 ,1282 ,1163 ,119 ,389 
1,30,2032 ,1892 ,1832 ,61 ,140 
1,35,1965 ,1854 ,1809 ,45 ,111 
1,40,2253 ,2149 ,2104 ,44 ,105 
1,45,2165 ,2040 ,1998 ,42 ,125 
1,50,2164 ,1984 ,1946 ,38 ,180 
1,55,1873 ,1641 ,1592 ,49 ,232 
1,60,1281 ,953 ,928 ,25 ,328 
1,65,2670 ,1130 ,1110 ,20 ,1540 
2,15,1552 ,135 ,122 ,13 ,1416 
2,20,1618 ,878 ,801 ,77 ,740 
2,25,1539 ,1118 ,1052 ,66 ,421 
2,30,1912 ,1157 ,1125 ,32 ,755 
2,35,1877 ,1062 ,1034 ,28 ,814 
2,40,2176 ,1382 ,1350 ,33 ,794 
2,45,2136 ,1508 ,1476 ,32 ,628 
2,50,2142 ,1432 ,1398 ,34 ,710 
2,55,1893 ,1101 ,1083 ,17 ,792 
2,60,1338 ,627 ,621 ,6 ,710 
2,65,3706 ,872 ,866 ,7 ,2833 
